IndividualNum,FID,IID,PAT,MAT,SEX,PHENOTYPE,seed01,seed02,FeatureNum,SizeNum,OutliersFraction,Class_true,pred_lof,pred_KNN_lar,pred_IForest,pred_vote
190,ESCM,ESCM_9_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
191,ESCM,ESCM_11_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
192,ESCM,ESCM_12_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
198,ESCM,ESCM_20_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
194,ESCM,ESCM_14_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
195,ESCM,ESCM_15_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
196,ESCM,ESCM_16_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
204,ESCM,ESCM_41_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
203,ESCM,ESCM_38_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
202,ESCM,ESCM_36_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
199,ESCM,ESCM_23_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
200,ESCM,ESCM_32_W,0,0,0,-9,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
193,ESCM,ESCM_13_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
201,ESCM,ESCM_33_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
206,GLGS,GLGS2,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
210,GLGS,GLGS6,0,0,1,-9,6331,16331,2,4,0.15,1,1,1,1,1
211,GLGS,GLGS7,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
237,GLGS,GLGS33,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
230,GLGS,GLGS26,0,0,1,-9,6331,16331,2,4,0.15,1,1,1,1,1
220,GLGS,GLGS16,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
239,ITWB,ITWB1_1_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
242,ITWB,ITWB1_4_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
244,ITWB,ITWB1_6_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
250,ITWB,ITWB1_12_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
253,ITWB,ITWB1_15_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
240,ITWB,ITWB1_2_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
274,ITWB,ITWB2_65_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
332,LDR,LDR4_12_J,0,0,2,18,6331,16331,2,4,0.15,1,1,1,1,1
334,LDR,LDR4_15_J,0,0,2,18,6331,16331,2,4,0.15,1,1,1,1,1
277,LDR,LDR1_3_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
343,LDR,LDR4_31_J,0,0,1,18,6331,16331,2,4,0.15,1,1,1,1,1
345,LDR,LDR4_35_J,0,0,1,18,6331,16331,2,4,0.15,1,1,1,1,1
346,LDR,LDR5_1_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
349,LDR,LDR5_5_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
354,LDR,LDR5_12_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
356,LDR,LDR5_18_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
360,LDR,LDR5_23_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
368,LDR,LDR6_4_M,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
378,LDR,LDR6_19_M,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
386,LDR,LDR7_18_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
402,LDR,LDR7_53_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
361,LDR,LDR5_24_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
281,LDR,LDR1_7_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
285,LDR,LDR1_13_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
287,LDR,LDR1_15_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
292,LDR,LDR1_40_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
304,LDR,LDR2_9_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
307,LDR,LDR2_12_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
309,LDR,LDR2_14_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
310,LDR,LDR2_15_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
325,LDR,LDR3_15_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
327,LDR,LDR4_6_J,0,0,2,18,6331,16331,2,4,0.15,1,1,1,1,1
331,LDR,LDR4_11_J,0,0,2,18,6331,16331,2,4,0.15,1,1,1,1,1
431,LT,LT29,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
425,LT,LT22,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
424,LT,LT21,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
423,LT,LT20,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
433,LT,LT31,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
422,LT,LT19,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
421,LT,LT18,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
420,LT,LT17,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
419,LT,LT16,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
418,LT,LT15,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
430,LT,LT28,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
417,LT,LT14,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
406,LT,LT2,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
407,LT,LT3,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
408,LT,LT5,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
409,LT,LT6,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
410,LT,LT7,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
