TableNum,TestNum,TestLabel,TestID,Seed01,Seed02,TestScale,OutliersFraction,KFold,FeatureMethod,SizeNum,FeatureNum,AD_True,AD_LOF,AD_KNN_lar,AD_IForest,AD_Vote,KNN,RF,SVM,nnet,NB,C50,MLR,Stacking01,Stacking02,MetaModel01,MetaModel02,KNN_Time,NB_Time,RF_Time,SVM_Time,C50_Time,nnet_Time,MLR_Time,Stacking01_Time,Stacking02_Time
1,210,GLGS,GLGS6,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,LDR,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,GLGS,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,211,GLGS,GLGS7,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,LDR,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,PIT,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,220,GLGS,GLGS16,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,GLGS,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,GLGS,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,230,GLGS,GLGS26,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,DHB,DHB,DHB,DHB,DHB,DHB,PIT,LDR,DHB,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,237,GLGS,GLGS33,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,GLGS,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,GLGS,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,239,ITWB,ITWB1_1_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,240,ITWB,ITWB1_2_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,242,ITWB,ITWB1_4_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,244,ITWB,ITWB1_6_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,250,ITWB,ITWB1_12_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
